22	2	2	3.25	4.65536122	3	3	3	4	3	3	3	3	4	2
19	1	1	3.75	4.725512668	2.6	2	1	4	4	2	2	4	3	2
23	2	2	4	5.871029996	3.4	5	4	4	5	4	3	4	4	3
21	1	1	3.75	3.864119983	5	3	1	3	1	4	1	1	1	2
19	1	1	5.75	4.148239965	3.8	5	4	4	3	3	3	2	3	1
22	1	1	4	3.476910013	4	2	2	4	4	4	3	3	4	2
25	2	1	3.75	3.356910013	3.8	1	3	4	3	3	3	3	3	2
19	1	1	3.25	6.351387189	3.2	4	3	4	4	3	4	2	1	1
18	1	1	4.25	2.966302501	3	4	2	5	5	5	4	5	5	2
18	1	1	5	3.347940009	3.6	1	1	4	3	2	2	2	3	2
18	1	1	3.75	4.262059991	3.4	5	2	4	4	4	4	2	5	2
20	1	1	3.25	5.770122527	3	1	1	4	3	1	1	2	3	2
21	1	1	2.75	4.407332496	4	3	2	4	4	2	1	3	4	2
18	2	1	3.75	5.936910013	3.6	4	2	4	4	2	1	3	2	2
19	2	1	4.5	9.050422483	4.2	5	4	3	3	1	1	2	2	1
19	1	1	4.25	3.801029996	3.8	5	2	5	4	3	2	4	4	1
20	1	1	3.75	3.503212514	3.8	4	2	4	3	4	3	4	5	2
19	1	1	3	4.183212514	4.4	4	2	4	3	3	2	3	2	1
19	2	1	5	10.77042248	3.2	5	4	5	5	5	4	4	4	2
24	2	1	5.5	5.316302501	4.2	3	4	5	4	4	3	4	5	2
22	1	1	4.75	7.388362492	4.4	5	4	5	4	3	2	3	5	2
23	1	2	3.5	6.979144469	3.4	3	3	4	4	4	3	4	4	2
21	1	2	3	6.515149978	4	2	2	3	3	5	4	3	4	3
22	1	1	5.5	5.090730039	4.4	5	1	4	3	1	1	1	1	2
20	1	2	3.75	5.806998728	3.2	4	4	3	3	3	3	3	3	4
18	1	1	4.5	4.575520523	3.2	5	2	5	2	4	2	1	5	2
24	2	1	3.25	4.973945518	3.4	5	4	4	4	3	2	2	1	1
19	1	1	3.75	4.346910013	3.4	4	1	5	4	4	1	5	1	2
18	1	1	4	11.54621379	3.8	5	2	5	4	3	2	3	4	2
20	1	1	4.25	3.908547521	4.4	5	2	5	4	5	2	4	5	4
19	2	1	4	6.803089987	2.8	3	2	5	4	1	2	4	3	2
21	1	1	3.75	2.509700043	3	1	1	5	1	2	1	2	4	2
25	1	1	5.75	5.725149978	4.4	5	4	5	4	4	3	5	3	2
24	1	1	5	3.653212514	4.6	5	2	5	4	3	4	1	4	2
24	1	1	4.25	8.974242509	3.8	5	4	5	5	4	2	4	5	1
24	2	1	5.25	1.724153795	4.6	4	2	4	3	3	3	5	4	1
24	2	1	4.25	2.347121255	3.6	4	3	3	3	2	2	2	1	1
22	2	1	5	5.318547521	4.6	5	4	5	4	5	4	5	3	2
21	2	2	4.25	4.510422483	4.6	4	2	4	4	4	2	4	2	2
20	1	1	5.25	4.28	3.8	3	2	5	5	5	3	1	3	2
18	2	1	5.25	4.329392488	3.4	5	2	4	2	4	3	5	4	4
20	2	1	3.75	6.786910013	3	3	2	5	4	5	4	3	4	2
24	1	2	3.75	7.866910013	2.8	4	3	3	4	3	4	4	5	4
19	1	1	4	2.772008053	3.2	4	3	4	4	2	2	3	4	2
19	2	1	4.25	4.318758763	3.2	4	3	5	4	3	2	2	3	2
22	2	1	4.5	3.035757491	4	3	3	5	4	4	5	5	5	4
24	2	2	3.25	3.898970004	3.8	5	1	5	5	5	1	1	1	2
21	1	1	4	5.379603729	4.2	5	3	4	3	2	3	4	3	1
20	1	1	5	4.691452479	3.2	5	4	4	5	3	3	4	3	1
23	1	1	4.5	3.207851294	3.8	3	2	4	2	2	1	3	4	1
22	1	2	3	4.651029996	2.2	3	3	3	3	3	3	3	3	1
19	1	1	5	2.248062535	3.2	5	4	5	5	5	5	5	5	4
19	1	1	3.5	4.019700043	4.4	4	3	4	3	4	3	2	3	1
19	1	1	4	4.542182518	3	1	1	5	4	3	3	3	5	2
28	2	2	3.75	3.990333768	3.8	2	1	4	3	4	4	2	4	4
20	1	2	2.25	7.359392488	3.6	2	3	4	3	4	2	3	3	4
21	2	2	4.25	2.85	3.6	4	3	5	4	4	3	5	5	4
24	1	2	3.5	8.134242509	3.6	2	2	3	3	4	4	5	5	4
20	1	1	4.25	4.016213786	3.4	5	4	5	5	5	4	4	4	2
22	1	1	4.75	3.185880017	2.6	5	1	5	2	2	2	3	4	2
24	2	2	3	6.57536122	4.2	5	3	5	4	4	4	4	5	2
21	1	2	3.5	6.605272505	4.2	4	3	5	5	5	4	4	3	2
19	1	1	3.75	6.274331224	3.4	5	3	4	3	3	3	2	2	1
18	1	2	3.5	12.66248247	3	1	1	3	3	3	3	3	2	3
23	2	1	4.25	3.971760035	2.8	4	2	5	5	2	1	1	1	2
18	1	1	4.75	4.644453751	4	5	4	5	5	3	2	5	5	2
20	2	2	4.25	5.84963265	2.6	4	2	4	3	4	3	4	3	4
21	1	2	2.75	9.667728767	3.6	4	4	5	4	2	3	2	2	2
20	1	2	3.75	3.169392488	3.4	4	3	3	3	2	2	5	5	4
21	2	2	4	2.514479477	3.6	2	2	3	3	4	4	4	4	3
22	1	2	4.5	3.805483747	3.6	5	5	4	3	4	4	5	5	3
21	1	2	4.5	7.401029996	5	3	1	5	5	5	3	5	5	4
22	2	2	3.75	11.89960373	3.6	3	1	3	3	3	2	4	4	4
23	1	2	2.75	6.422059991	4.2	3	3	3	3	3	3	3	3	1
18	1	1	4.75	4.055757491	3.8	4	4	4	3	4	3	4	4	3
23	1	1	4.25	5.398362492	3.6	5	3	5	4	4	2	4	5	2
18	1	1	5	4.486910013	3.6	5	4	5	4	5	5	4	5	1
24	2	2	4.5	4.278062535	3.8	3	2	4	4	5	4	4	4	3
22	1	1	4.25	9.71351247	4.2	3	1	5	2	5	4	3	2	2
23	2	2	4.25	5.453820026	3.2	3	4	4	5	2	3	3	5	2
21	1	2	3	9.290422483	2.8	3	3	3	3	4	4	5	5	4
18	1	2	4.25	5.657332496	3.4	4	2	4	4	2	2	4	4	2
20	1	2	3.75	9.449176084	4.4	3	3	3	3	3	2	4	4	4
22	1	1	4	4.577664195	2.8	4	2	4	3	1	1	1	4	2
19	1	1	5.5	5.231029996	3.6	4	3	5	4	3	3	2	2	2
24	2	2	3.5	6.614119983	3.6	4	3	5	4	5	4	5	5	4
23	1	2	3	9.946179974	3	1	2	4	4	3	3	3	3	2
23	2	2	1	3.556910013	3	4	3	5	5	1	1	1	1	2
19	2	1	4.5	7.010730039	3.8	4	2	4	3	2	2	2	2	1
23	2	1	4	2.24703254	3.8	5	3	4	3	3	2	3	2	1
22	1	2	3.75	5.29351247	3.6	3	3	5	4	3	3	4	4	4
26	1	1	6	2.643820026	4.6	5	4	3	5	2	1	3	2	1
22	1	2	4	7.38720997	2.8	3	4	4	4	3	3	2	3	3
20	2	1	5	6.579303773	2.4	5	3	5	3	3	4	3	5	2
31	1	1	4.75	3.716054482	3.6	4	2	5	4	3	2	4	4	2
23	2	2	3.75	14.07145248	3.8	1	1	4	5	2	2	5	5	2
30	1	1	4.25	4.250607512	3.2	5	3	5	4	1	1	1	1	2
24	2	2	2.5	4.12	2.8	2	2	1	2	2	3	4	4	4
